"rt","rc","rs","rrs","disturb_year","iv_malla_modi_id"
0.839054215706083,1.11154802229768,0.932649054068625,0.093594838362542,2005,148907
0.839666185461022,1.0981248956539,0.922058342293489,0.0823921568324669,2005,148908
0.858957272460835,1.09600688027204,0.94142308047678,0.0824658080159451,2005,148909
0.81047850658685,1.15800236305816,0.938536025835417,0.128057519248568,2005,148910
0.85537903700714,1.11051161205223,0.949908353302482,0.0945293162953418,2005,148911
0.787843990732471,1.20577480649777,0.949962435475875,0.162118444743404,2005,148912
0.797411458247815,1.23904257497717,0.988026746543672,0.190615288295858,2005,148913
0.886034004422721,1.12391461987403,0.995826571276227,0.109792566853506,2005,148914
0.913959044738504,1.0932692750023,0.999203342223056,0.0852442974845524,2005,148915
0.874535723444208,1.11466123055351,0.974811065657329,0.100275342213121,2005,148916
0.936901618189392,1.09039547915613,1.02159328888777,0.0846916706983792,2005,148917
