"y","a","nora","sa","iv_malla_modi_id","long","lat","pop"
2015,-0.0138245093886918,-2.86786964699476,-0.684878456661228,153664,-3.2613429,37.1630782,1
2016,-0.0139557593886911,-2.89579291871789,-0.691574882010487,153664,-3.2613429,37.1630782,1
2000,-0.0158892248045054,-3.39482763720722,-0.863409353942312,153665,-3.2587286,37.1630782,1
2001,-0.000245474804505125,-0.0509447151298285,-0.0130375689630057,153665,-3.2587286,37.1630782,1
2002,-0.0110062386933942,-2.33009903156686,-0.590925404319462,153665,-3.2587286,37.1630782,1
2003,0.0248867367339562,4.93763929034007,1.40077272476401,153665,-3.2587286,37.1630782,1
2004,0.00358542797327313,0.738919661071323,0.190643945776989,153665,-3.2587286,37.1630782,1
2005,-0.0456673498045051,-10.3374207769574,-3.05365100128365,153665,-3.2587286,37.1630782,1
2006,-0.004536340189121,-0.948907191604669,-0.241371137301716,153665,-3.2587286,37.1630782,1
2007,0.00968890019549487,1.97486363422182,0.518919629481869,153665,-3.2587286,37.1630782,1
2008,-0.000145127582283383,-0.0301135793123797,-0.00770793688214423,153665,-3.2587286,37.1630782,1
2009,0.00867135211857212,1.77069987052021,0.463642781272487,153665,-3.2587286,37.1630782,1
2010,0.015226159810879,3.07290707268544,0.825802087719041,153665,-3.2587286,37.1630782,1
2011,0.0386116680526382,7.48097942321576,2.39017106713311,153665,-3.2587286,37.1630782,1
2012,-0.0139583654295051,-2.97147169496478,-0.754470588635958,153665,-3.2587286,37.1630782,1
2013,0.00775596750318694,1.58639376679299,0.414140515001612,153665,-3.2587286,37.1630782,1
2014,0.0150191085288286,3.03223848149252,0.814102169887452,153665,-3.2587286,37.1630782,1
2015,-0.017851724804505,-3.82829101084835,-0.976055847848671,153665,-3.2587286,37.1630782,1
2016,-0.0141454748045046,-3.01236246045026,-0.76495290979295,153665,-3.2587286,37.1630782,1
2000,-0.0161852809129728,-3.38689656045921,-1.00717421600344,153666,-3.2561144,37.1630782,1
2001,-0.00313617377011569,-0.640828892337393,-0.189440924696182,153666,-3.2561144,37.1630782,1
2002,4.75315870276383e-05,0.00965691764628817,0.00286792436875165,153666,-3.2561144,37.1630782,1
2003,0.0343839899203613,6.58067619678995,2.42827819368651,153666,-3.2561144,37.1630782,1
2004,-0.00714251775507777,-1.47008246001128,-0.433492872616433,153666,-3.2561144,37.1630782,1
2005,-0.0310977809129727,-6.69170537741046,-2.12578807679856,153666,-3.2561144,37.1630782,1
2006,-0.0026706975796387,-0.54525839133268,-0.161273891417311,153666,-3.2561144,37.1630782,1
2007,0.0059886774203613,1.20388818116261,0.362829404290576,153666,-3.2561144,37.1630782,1
2008,0.00625221908702767,1.25628001021878,0.378937113241691,153666,-3.2561144,37.1630782,1
2009,-0.00160111424630605,-0.32626010928208,-0.0966350744619026,153666,-3.2561144,37.1630782,1
2010,0.0182200762298843,3.58495619982927,1.14356253746803,153666,-3.2561144,37.1630782,1
2011,0.032122635753694,6.1714480284332,2.21700427372426,153666,-3.2561144,37.1630782,1
2012,-0.000836114246306058,-0.170141531646684,-0.0504528344024668,153666,-3.2561144,37.1630782,1
2013,0.00508010370241177,1.02288846844403,0.307426818273424,153666,-3.2561144,37.1630782,1
2014,-0.00216124245143376,-0.440841774791857,-0.130472977183385,153666,-3.2561144,37.1630782,1
2015,-0.0170165309129723,-3.56631575183849,-1.06246933867144,153666,-3.2561144,37.1630782,1
2016,-0.0202477809129721,-4.26902829561056,-1.28325982235385,153666,-3.2561144,37.1630782,1
2000,-0.0246057545214023,-5.17330520903331,-1.31772368342063,153667,-3.2535002,37.1630782,1
2001,0.00940451333574138,1.85992883073932,0.481733720780025,153667,-3.2535002,37.1630782,1
2002,0.00636026110359802,1.26458550369593,0.324516436171542,153667,-3.2535002,37.1630782,1
2003,0.040087995478598,7.52526602335793,2.37114795994516,153667,-3.2535002,37.1630782,1
2004,-0.0140435834687707,-2.89588965237443,-0.725893136020754,153667,-3.2535002,37.1630782,1
2005,-0.0380620045214023,-8.20733197945282,-2.21318087097812,153667,-3.2535002,37.1630782,1
2006,0.000199974645264361,0.0401945599959406,0.0101696958331359,153667,-3.2535002,37.1630782,1
2007,0.00722723158970892,1.4347795559238,0.369106725611469,153667,-3.2535002,37.1630782,1
2008,0.0106317454785977,2.09814500929952,0.545702743186522,153667,-3.2535002,37.1630782,1
2009,-0.00181700452140193,-0.366525900796153,-0.0924280931704779,153667,-3.2535002,37.1630782,1
2010,0.0215473704785981,4.17299520650645,1.13955451648595,153667,-3.2535002,37.1630782,1
2011,0.0316375788119317,6.02327124255097,1.75801542530105,153667,-3.2535002,37.1630782,1
2012,-0.00867367118806825,-1.77126840369095,-0.443814869860602,153667,-3.2535002,37.1630782,1
2013,0.00223847624782875,0.448309101370158,0.113883484274429,153667,-3.2535002,37.1630782,1
2014,-0.00170911990601783,-0.344697241717632,-0.0869374918197931,153667,-3.2535002,37.1630782,1
2015,-0.0165870045214017,-3.43626365876131,-0.863012995740532,153667,-3.2535002,37.1630782,1
2016,-0.023837004521402,-5.00454010893298,-1.27229844160482,153667,-3.2535002,37.1630782,1
2000,-0.0187198956144958,-4.20865792280143,-1.13137215820907,153668,-3.250886,37.1630782,1
2001,0.0249940106355042,5.17082525155835,1.56039719686234,153668,-3.250886,37.1630782,1
2002,-0.00976980880894038,-2.15815789526629,-0.573925224985306,153668,-3.250886,37.1630782,1
2003,0.0347412221739656,7.06170527526443,2.34207171787583,153668,-3.250886,37.1630782,1
2004,0.00672776063550456,1.43986713974773,0.393090726846513,153668,-3.250886,37.1630782,1
2005,-0.0313534893644962,-7.2301769587906,-2.04927683299805,153668,-3.250886,37.1630782,1
2006,-0.00310829705680377,-0.677824142813563,-0.180923561843714,153668,-3.250886,37.1630782,1
2007,0.0147798439688379,3.11578691845164,0.880036275031594,153668,-3.250886,37.1630782,1
2008,0.0101070575105042,2.14938391844546,0.594168197866954,153668,-3.250886,37.1630782,1
2009,-2.43226978295097e-05,-0.00527274505470359,-0.00141429124110912,153668,-3.250886,37.1630782,1
2010,0.00952401063550418,2.02761048189774,0.55919882809371,153668,-3.250886,37.1630782,1
2011,0.0208847918855042,4.35335448900288,1.27479893030665,153668,-3.250886,37.1630782,1
2012,-0.0191980206144958,-4.32024891789066,-1.16268653232296,153668,-3.250886,37.1630782,1
2013,-0.00439964321064923,-0.961816943295756,-0.256352810910202,153668,-3.250886,37.1630782,1
2014,-0.00806643579306696,-1.77598513079442,-0.472309944341341,153668,-3.250886,37.1630782,1
2015,-0.0170715449200513,-3.82556209090562,-1.0248457101747,153668,-3.250886,37.1630782,1
2016,-0.0100472393644958,-2.22064331271157,-0.590574450361819,153668,-3.250886,37.1630782,1
2000,-0.0141359265917906,-3.45792098801449,-1.03842389815283,153669,-3.2482717,37.1630782,1
2001,0.0124429536165431,2.87864492442915,0.907173589738876,153669,-3.2482717,37.1630782,1
2002,-0.00421114360567967,-1.00852287125281,-0.3002332167007,153669,-3.2482717,37.1630782,1
2003,0.0285270241293629,6.38985824034663,2.35457776193871,153669,-3.2482717,37.1630782,1
2004,0.0152746202832091,3.51343498798576,1.12848867603323,153669,-3.2482717,37.1630782,1
2005,-0.0283878797167901,-7.16461872789196,-2.33913710899044,153669,-3.2482717,37.1630782,1
2006,-0.00689509125525192,-1.66071785240351,-0.493938609286352,153669,-3.2482717,37.1630782,1
2007,0.019925314727654,4.54032195448296,1.5151686078898,153669,-3.2482717,37.1630782,1
2008,0.00711407340820944,1.66392225201702,0.509877563004787,153669,-3.2482717,37.1630782,1
2009,-0.00179454638345689,-0.427590709712146,-0.127646988412133,153669,-3.2482717,37.1630782,1
2010,0.00656378694987575,1.53696030763165,0.46986801735689,153669,-3.2482717,37.1630782,1
2011,0.0114105577832094,2.6453777852002,0.828509708555089,153669,-3.2482717,37.1630782,1
2012,-0.0102710828417906,-2.49171979170863,-0.742744633648014,153669,-3.2482717,37.1630782,1
2013,-0.00433691817832918,-1.0389206302795,-0.309253331725751,153669,-3.2482717,37.1630782,1
2014,-0.011361094002505,-2.76259748976402,-0.824764551240759,153669,-3.2482717,37.1630782,1
2015,-0.0110642686056797,-2.6887082228881,-0.802333832976864,153669,-3.2482717,37.1630782,1
2016,-0.00880037971679012,-2.12823372317057,-0.63348364707602,153669,-3.2482717,37.1630782,1
2000,-0.0155496515769768,-3.21945853833652,-1.07272520136625,154342,-3.2638672,37.1609949,1
2001,-0.00163090157697679,-0.329294850915708,-0.108697093952373,154342,-3.2638672,37.1609949,1
2002,-0.0137292349103105,-2.83313062814454,-0.939691294293688,154342,-3.2638672,37.1609949,1
2003,0.0222050599614846,4.30078379817265,1.59278448740448,154342,-3.2638672,37.1609949,1
2004,0.00866826508968949,1.71867169508557,0.583651844573182,154342,-3.2638672,37.1609949,1
2005,-0.0233696515769768,-4.9086661513369,-1.69087070259949,154342,-3.2638672,37.1609949,1
2006,-0.015183848005548,-3.14162173265189,-1.0457355841091,154342,-3.2638672,37.1609949,1
2007,-0.0072521515769767,-1.47909223843156,-0.486743752455621,154342,-3.2638672,37.1609949,1
2008,0.00157909842302295,0.317022305857149,0.105242054230734,154342,-3.2638672,37.1609949,1
2009,0.00428014008968952,0.855195866902367,0.285889365833262,154342,-3.2638672,37.1609949,1
2010,0.0180660775896895,3.5240528294754,1.2623721720547,154342,-3.2638672,37.1609949,1
2011,0.0344319830384073,6.53245396059401,2.80294843527865,154342,-3.2638672,37.1609949,1
2012,-0.0203587922019768,-4.25252216750071,-1.4421708411306,154342,-3.2638672,37.1609949,1
2013,0.00512128592302316,1.02174631644041,0.342452451322558,154342,-3.2638672,37.1609949,1
2014,0.00313795258968952,0.628245509018011,0.209349516238629,154342,-3.2638672,37.1609949,1
2015,-0.000961526576976818,-0.193910300646717,-0.0640687829591199,154342,-3.2638672,37.1609949,1
2016,0.00054589529802318,0.109795759393483,0.0363711168904026,154342,-3.2638672,37.1609949,1
2000,-0.0155426557230559,-3.33012197379741,-0.899481440398231,154343,-3.261253,37.1609949,1
2001,-0.00299807238972219,-0.627476870035753,-0.169413101705863,154343,-3.261253,37.1609949,1
2002,-0.0128143918341667,-2.73148406033951,-0.735636108027421,154343,-3.261253,37.1609949,1
2003,0.0391638594284594,7.60463619256849,2.65554414935024,154343,-3.261253,37.1609949,1
2004,0.0121757557352778,2.47884452857217,0.697823401250094,154343,-3.261253,37.1609949,1
2005,-0.0266634890563885,-5.83552361170151,-1.62529941474299,154343,-3.261253,37.1609949,1
2006,-0.00776297623587563,-1.63916358908552,-0.44093587188257,154343,-3.261253,37.1609949,1
2007,-0.0048928640563885,-1.0276401683446,-0.276897786834493,154343,-3.261253,37.1609949,1
2008,0.0063144276102779,1.29922488321297,0.357920559387771,154343,-3.261253,37.1609949,1
2009,-0.0151333402468655,-3.23991620345126,-0.874640472484659,154343,-3.261253,37.1609949,1
2010,0.00732452376412435,1.5042985856763,0.415753562761136,154343,-3.261253,37.1609949,1
2011,0.035954812225662,7.02011715757201,2.35736256697262,154343,-3.261253,37.1609949,1
2012,-0.0183379161397222,-3.9498989693597,-1.07196871097281,154343,-3.261253,37.1609949,1
2013,0.0122729503375502,2.49819605869014,0.703566177985662,154343,-3.261253,37.1609949,1
2014,0.0108675526102778,2.21772102401923,0.620921072397454,154343,-3.261253,37.1609949,1
2015,-0.0109469005147222,-2.32524707759085,-0.625565544903644,154343,-3.261253,37.1609949,1
2016,-0.00898127551472219,-1.90072352256029,-0.51119165214063,154343,-3.261253,37.1609949,1
2000,-0.0177100812555504,-3.91905481439728,-1.05193450967324,154344,-3.2586388,37.1609949,1
2001,-0.00335165863650225,-0.721460252792755,-0.192733383629342,154344,-3.2586388,37.1609949,1
2002,-0.00627522014443843,-1.35831294561987,-0.361907738392719,154344,-3.2586388,37.1609949,1
2003,0.0342918884414201,6.88895308263185,2.26440417794966,154344,-3.2586388,37.1609949,1
2004,0.0136274708277833,2.84173517717977,0.798213213236861,154344,-3.2586388,37.1609949,1
2005,-0.030254664588883,-6.86314497524754,-1.93019102628014,154344,-3.2586388,37.1609949,1
2006,-0.00481405561452464,-1.03913430279564,-0.277170460888057,154344,-3.2586388,37.1609949,1
2007,0.000117488188894205,0.0251243405288209,0.00674817709003207,154344,-3.2586388,37.1609949,1
2008,0.00556575207778331,1.17810088965008,0.320709914179202,154344,-3.2586388,37.1609949,1
2009,-0.00558290863650227,-1.20686175892989,-0.321704919621828,154344,-3.2586388,37.1609949,1
2010,0.0158965213085526,3.30111793976114,0.937907713822108,154344,-3.2586388,37.1609949,1
2011,0.0383234443854754,7.64423147538854,2.63849097454445,154344,-3.2586388,37.1609949,1
2012,-0.0124768260472167,-2.73306341889613,-0.728464181760713,154344,-3.2586388,37.1609949,1
2013,-0.0017558388313075,-0.376810455840469,-0.100882285067196,154344,-3.2586388,37.1609949,1
2014,0.00573398124444963,1.21332867693338,0.330469063742564,154344,-3.2586388,37.1609949,1
2015,-0.0167600291722167,-3.70195105133809,-0.991914858068383,154344,-3.2586388,37.1609949,1
2016,-0.0145752635472167,-3.20573064605125,-0.856196020392097,154344,-3.2586388,37.1609949,1
2000,-0.012692757568718,-2.77388662617549,-0.737982793433365,154345,-3.2560247,37.1609949,1
2001,-0.00768477765800357,-1.66337515966152,-0.442049975854576,154345,-3.2560247,37.1609949,1
2002,-0.0152007002770517,-3.33811805160172,-0.890430562140764,154345,-3.2560247,37.1609949,1
2003,0.0362130307835544,7.23201236131133,2.42153018416074,154345,-3.2560247,37.1609949,1
2004,0.0167486747229483,3.46363311164088,0.98637385103141,154345,-3.2560247,37.1609949,1
2005,-0.029686116943718,-6.70742163100726,-1.87516096769627,154345,-3.2560247,37.1609949,1
2006,-0.0161675752770517,-3.55711081965473,-0.950175825534263,154345,-3.2560247,37.1609949,1
2007,0.00837950805628171,1.75975967440558,0.482572217010269,154345,-3.2560247,37.1609949,1
2008,0.006704508056282,1.41238081466274,0.385098649749745,154345,-3.2560247,37.1609949,1
2009,0.0158828734408979,3.28978235188935,0.932522179486703,154345,-3.2560247,37.1609949,1
2010,0.0176073926716661,3.63551981573367,1.04029089970115,154345,-3.2560247,37.1609949,1
2011,0.0238866509134253,4.87625768739114,1.45336550366371,154345,-3.2560247,37.1609949,1
2012,-0.013529476318718,-2.96152214989962,-0.788468160460943,154345,-3.2560247,37.1609949,1
2013,0.00564200805628201,1.19090509336511,0.323630838456222,154345,-3.2560247,37.1609949,1
2014,-0.00403491502064074,-0.867314194037789,-0.231075832252861,154345,-3.2560247,37.1609949,1
2015,-0.0152517419437181,-3.34965823831257,-0.893570026295618,154345,-3.2560247,37.1609949,1
2016,-0.016816585693718,-3.70457041692242,-0.99061904056534,154345,-3.2560247,37.1609949,1
2000,-0.0159783110644462,-3.33818041055918,-0.829195258804381,154346,-3.2534105,37.1609949,1
2001,-0.00427752981444623,-0.87479067107019,-0.217666695666617,154346,-3.2534105,37.1609949,1
2002,-0.010434127036668,-2.15783885632623,-0.534902060712882,154346,-3.2534105,37.1609949,1
2003,0.0372324133673721,7.08373925810821,2.14833120074979,154346,-3.2534105,37.1609949,1
2004,0.0166997618522201,3.29067837884922,0.868366398226569,154346,-3.2534105,37.1609949,1
2005,-0.0403892485644463,-8.83570107282534,-2.39252186097178,154346,-3.2534105,37.1609949,1
2006,-0.0137231548144462,-2.8551649341067,-0.708167416079484,154346,-3.2534105,37.1609949,1
2007,0.00450059518555335,0.906057456872678,0.229054054457013,154346,-3.2534105,37.1609949,1
2008,0.00801309518555426,1.60318913459122,0.40928432852189,154346,-3.2534105,37.1609949,1
